
States V || Symbols->         a|              b|              c|              d|              e|              f|              g|              h|              i|              j|              z|              x|              k|              =|              (|              )|              {|              }|              ~|              ?|              $|              :|              ;|              >|              <|              +|              -|              *|              ~|              ,|              [|              ]|              
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------              
              0|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|            s 6|            s 7|            s 8|               |           s 19|            s 9|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
              1|               |               |               |               |               |               |               |               |               |               |               |               |               |           s 22|               |         r R->b|               |         r R->b|         r R->b|         r R->b|               |         r R->b|         r R->b|         r R->b|         r R->b|         r R->b|         r R->b|         r R->b|               |               |               |               |
              2|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r R->c|               |         r R->c|         r R->c|         r R->c|               |         r R->c|         r R->c|         r R->c|         r R->c|         r R->c|         r R->c|         r R->c|               |               |               |               |
              3|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r R->d|               |         r R->d|         r R->d|         r R->d|               |         r R->d|         r R->d|         r R->d|         r R->d|         r R->d|         r R->d|         r R->d|               |               |               |               |
              4|               |           s 23|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              5|               |           s 24|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              6|           s 25|           s 26|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              7|               |           s 27|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              8|           s 30|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              9|               |           s 32|               |               |               |               |               |               |               |               |               |               |               |               |               |         r R->k|               |         r R->k|         r R->k|         r R->k|               |         r R->k|         r R->k|         r R->k|         r R->k|         r R->k|         r R->k|         r R->k|               |               |               |               |
             10|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         accept|               |               |               |               |               |               |               |               |               |               |               |
             11|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r L->J|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
